County,Route,Facility,Location,MP,Bridge ID#,Gross (tons),KY Type 1 (tons),KY Type 2 (tons),KY Type 3 (tons),KY Type 4 (tons),SU5 (tons),SU6 (tons),SU7 (tons)
Adair,KY-76,KY-76,1.1 MI N OF S-JCT KY 206,4.671,001B00011N,,20,27,31,31,31,31,31
Adair,KY-55,KY-55,.10 MI WEST OF JCT KY 92,6.355,001B00014N,,23,24,27,44,29,30,32
Adair,KY-80,KY-80,1.6 MI EAST OF JCT KY 768,4.985,001B00023N,,36,38,43,44,,,
Adair,KY-900,KY-900,.25 MI  SOU.OF JCT KY 55,5.05,001B00027N,,24,37,,,,,
Adair,KY-704,KY-704,2.7 MI N OF CUMBERLAND CL,2.509,001B00028N,,30,32,36,44,39,40,43
Adair,KY-1323,KY-1323,.3 MI NE OF JCT KY 206,0.41,001B00032N,,31,32,36,44,39,39,42
Adair,KY-531,KY-531,2.0 MI SOU. OF JCT KY 206,3.319,001B00033N,,27,28,31,44,34,34,36
Adair,KY-551,KY-551,.50 MI NOR. OF JCT KY 901,0.863,001B00035N,,30,33,35,39,39,40,44
Adair,KY-551,KY-551,.70 MI NOR. OF JCT KY 901,1.103,001B00036N,17,,,,,,,
Adair,KY-551,KY-551,1.3 MI EAST OF 084 C.L.,1.832,001B00037N,17,,,,,,,
Adair,KY-92,KY-92,.40 MI WEST OF JCT KY 768,3.551,001B00043N,22,,,,,,,
Adair,KY-92,KY-92,.60 MI EAST OF JCT KY 768,4.702,001B00044N,,34,36,41,44,,,
Adair,KY-55,KY-55X,.10 MI NOR. OF JCT KY 206,1.988,001B00052N,,37,38,42,44,,,
Adair,KY-1742,KY-1742,.40 MI  NOR OF JCT KY 551,0.471,001B00072N,,40,41,44,44,,,
Adair,KY-767,KY-767,1.9 MI.N. JCT  KY 439,1.828,001B00074N,,32,34,36,44,38,39,41
Adair,CR-1106,ARNOLDS LANDING RD,.05 MI E OF JCT CR 5067,1.881,001C00007N,18,,,,,,,
Adair,CR-1162,WIDS ROAD,100' NE OF JCT CR 5156,0.029,001C00011N,0,,,,,,,
Adair,CR-1182,CHARLIE MORRISON,2.35 MI S OF KY 1952,2.25,001C00013N,23,,,,,,,
Adair,CR-1318,LEATHERWOOD CHURCH,.15 MI SE OF JCT KY 80,2.472,001C00017N,29,,,,,,,
Adair,CR-1031,DUNNVILLE RD,1.75 MI E OF JCT KY 2289,1.673,001C00024N,18,,,,,,,
Adair,CR-1031,DUNNVILLE RD,1 MI E OF JCT KY 2289,0.932,001C00025N,18,,,,,,,
Adair,CR-1031,DUNNVILLE RD,.5 MI E OF JCT KY 2289,0.526,001C00026N,18,,,,,,,
Adair,CR-1667,ROLLIN COOMER RD,.5 MI FROM CR 1175,0.018,001C00035N,3,,,,,,,
Adair,CR-1016,SULPHUR CREEK RD,1 MI. S-JCT. KY 206,3.75,001C00036N,18,,,,,,,
Adair,CR-1001,TAYLOR FORD RD,0.9 MI SE OF JCT KY 206,2.556,001C00037N,18,,,,,,,
Adair,CR-1291,CORBIN RD,.25 MI. S.E. OF JCT.KY 61,0.297,001C00039N,11,,,,,,,
Adair,CR-1008,ALLEN SCHOOLHOUSE,150' E OF JCT KY 531,5.754,001C00040N,5,,,,,,,
Adair,CR-1302,GREENBRIAR RD,.7 MI S OF JCT KY 533,0.607,001C00041N,18,,,,,,,
